"idviv","idhogar","idindivsp","isla","isla3","c_nuts4","urb_rur","tper","tama_hogar","num_adultos","tipo_hogar","ing_hog","edif","nhabit","superf","problem_luz","problem_got","problem_humed","problem_suc","problem_olor","problem_ruina","problem_def","tenencia","gasto_tenencia","tv","tva","tvb","tvc","tvd","tve","tlf_fijo","ordenador","ordenador_no","nordenador_a","nordenador_b","nordenador_c","internet","internet_noa","internet_nob","internet_noc","internet_nod","internet_noe","internet_nof","econo_sub1","econo_sub2","econo_sub3a","econo_sub3b","econo_sub3c","econo_sub3d","econo_sub3e","econo_sub3f","econo_sub3g","econo_sub3h","econo_sub3i","econo_sub3j","econo1a","econo1b","econo1c","econo1d","econo2a","econo2b","econo2c","econo2d","econo3","econo3a","econo4","econo4a","sexosp","edadsp","ecivilsp","naciodsp","extranjsp","lnacsp","cod_lnacsp","resIBsp","estudiossp","actividadsp","ingresos_1asp","ingresos_1bsp","ingresos_1csp","ingresos_1dsp","ingresos_1esp","ingresos_1fsp","ingresos_2asp","ingresos_2bsp","ingresos_2csp","ingresos_2dsp","ingresos_2esp","ingresos_2fsp","factor_h"
"101_00104","1010010411","101001041101","1","1","040701","1",4,"4",3,"99","04","2",4,100,"6","6","6","6","6","6","6","2","-1","1","1","1","6","6","6","1","1","-1","1","1","0","1","-1","-1","-1","-1","-1","-1","3",2500,"6","6","6","6","6","1","1","1","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",57,"5","1","-1","1","-1","-1","03","3","6","6","6","6","6","6","-1","-1","-1","-1","-1","-1",112.55424769
"101_00107","101001071","10100107102","1","1","040701","1",3,"3",2,"03","05","1",8,160,"1","6","1","6","1","6","1","1","03","1","6","6","1","6","6","1","1","-1","2","1","0","1","-1","-1","-1","-1","-1","-1","4",3000,"1","6","6","6","6","1","1","1","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",41,"1","1","-1","1","-1","-1","03","1","1","6","6","6","6","6","5","-1","-1","-1","-1","-1",120.0587806
"101_00108","101001081","10100108102","1","1","040701","1",5,"5",2,"99","-8","2",5,120,"6","6","6","6","6","6","6","2","-1","1","1","6","6","6","6","1","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","3",1700,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",38,"3","1","-1","1","-1","-1","03","1","6","1","6","6","6","6","-1","-8","-1","-1","-1","-1",10.845
"101_00110","101001101","10100110101","1","1","040701","1",4,"4",3,"99","06","1",5,90,"6","6","6","1","6","6","6","2","-1","1","1","6","6","6","6","1","1","-1","1","0","0","6","1","6","6","6","6","1","2",2000,"1","6","6","6","6","1","6","1","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","1","1","2",66,"2","1","-1","1","-1","-1","02","3","6","6","1","6","6","1","-1","-1","2","-1","-1","5",10.845
"101_00113","101001131","10100113101","1","1","040701","1",4,"4",2,"04","-8","1",5,250,"6","6","6","6","6","6","6","2","-1","1","1","6","6","6","6","1","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","4",2000,"6","6","6","6","6","6","6","1","1","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",36,"2","1","-1","1","-1","-1","07","1","1","6","6","6","6","6","-8","-1","-1","-1","-1","-1",115.55634923
"101_00115","101001151","10100115101","1","1","040701","1",5,"5",2,"04","05","2",3,75,"1","1","1","1","1","6","1","3","02","1","1","1","6","6","6","1","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","1",1500,"1","6","6","1","6","1","1","1","1","1","6","1","6","6","-1","2","-1","-1","6","-1","6","-1","1",42,"2","3","341","3","341","4","02","3","6","6","6","6","6","1","-1","-1","-1","-1","-1","5",55.318608288
"101_00118","101001181","10100118101","1","1","040701","1",2,"2",2,"06","06","2",8,175,"6","6","6","6","6","6","6","1","05","1","1","6","6","6","6","1","1","-1","0","3","0","1","-1","-1","-1","-1","-1","-1","5",3000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",34,"2","1","-1","1","-1","-1","07","1","1","6","6","6","6","6","5","-1","-1","-1","-1","-1",138.97041753
"101_00119","101001191","10100119101","1","1","040701","1",1,"1",1,"01","02","1",5,120,"6","6","1","1","6","6","6","2","-1","1","1","6","6","6","6","6","1","-1","1","1","0","1","-1","-1","-1","-1","-1","-1","4",1000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",21,"1","1","-1","1","-1","-1","07","3","6","6","6","6","6","1","-1","-1","-1","-1","-1","3",175.78004135
"101_00122","101001221","10100122101","1","1","040701","1",4,"4",2,"04","03","1",3,100,"6","6","1","6","6","6","6","1","03","1","1","6","6","6","6","1","1","-1","2","1","0","1","-1","-1","-1","-1","-1","-1","3",3000,"1","6","6","6","6","1","1","1","1","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",41,"2","1","-1","2","10","13","04","1","6","1","6","6","6","6","-1","4","-1","-1","-1","-1",48.13228264
"101_00123","101001231","10100123101","1","1","040701","1",2,"2",2,"06","03","1",3,145,"6","6","6","6","6","6","6","1","-8","1","1","6","6","6","6","1","6","1","-1","-1","-1","6","6","1","6","6","6","6","2",3000,"1","6","6","6","6","1","1","1","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",54,"2","1","-1","2","7","26","03","1","1","6","6","6","6","6","4","-1","-1","-1","-1","-1",151.22318217
