"from" "to" "weight"
50 4 1955451
144 4 407275
156 4 2759580
276 4 74000
320 4 153000
360 4 3056860
364 4 189817
404 4 69124368
414 4 1376
417 4 1795687
450 4 75679
528 4 7917
586 4 42430
699 4 3170456
702 4 265239
784 4 1266291
792 4 1362
826 4 1176
40 8 5954
76 8 1829986
100 8 2018
144 8 52467
156 8 5775
188 8 42938
192 8 33872
203 8 1412
231 8 10420
276 8 54933
300 8 1817324
340 8 1600343
348 8 1218
360 8 201604
381 8 2033884
404 8 37334
528 8 1131
616 8 21129
682 8 7120
699 8 64014
702 8 12412
704 8 35675
705 8 484249
710 8 4035
724 8 2440
792 8 2122
807 8 4526
891 8 50850
899 8 1824
76 12 7464016
100 12 8331
116 12 3926
120 12 5298351
124 12 13667
144 12 73831
156 12 14052509
170 12 124074
218 12 23837
222 12 54491
231 12 268346
251 12 1082060
276 12 79502
288 12 152638
320 12 5166
324 12 2002004
340 12 30590
360 12 8178891
364 12 20926
381 12 106448
384 12 59871613
392 12 1633
450 12 165841
458 12 37804
466 12 38614
484 12 93225
504 12 16746
528 12 20359
558 12 11361
562 12 37473
568 12 2951
586 12 16955
699 12 4917378
702 12 218039
704 12 6348859
710 12 92678
724 12 1553291
760 12 1670733
768 12 692793
784 12 1795777
788 12 123870
792 12 94947
800 12 3925056
818 12 646395
826 12 31250
834 12 1939270
842 12 30795
36 16 13155
360 16 75248
554 16 1422
699 16 5646
56 20 2210
76 20 65539
144 20 5831
156 20 1079
170 20 38658
251 20 158760
276 20 27893
340 20 12624
360 20 1057
381 20 8155
388 20 2306
404 20 1792
558 20 10570
604 20 53621
620 20 441811
699 20 5208
704 20 3829
724 20 1650130
800 20 23382
826 20 19664
842 20 6651
56 24 7437
76 24 220348
144 24 737341
156 24 20460
188 24 45300
251 24 70175
344 24 9014
381 24 12226
384 24 551523
404 24 12288
422 24 10244
516 24 181831
528 24 18096
620 24 1023544
682 24 2800
704 24 13020
710 24 517346
724 24 2855
52 28 98008
144 28 3968
212 28 90026
214 28 1052
233 28 1478
308 28 13325
328 28 31389
360 28 40138
381 28 6263
388 28 6688
620 28 1677
662 28 5587
780 28 78624
826 28 22166
842 28 30381
40 31 141806
76 31 165559
144 31 6008373
203 31 6368
233 31 60302
268 31 14184
276 31 52000
348 31 3194
364 31 239292
381 31 17984
410 31 24011
422 31 1062
504 31 3780
616 31 62000
643 31 15040
699 31 3143962
704 31 454372
757 31 115491
784 31 307658
792 31 460309
826 31 4572
842 31 1684
36 32 1685
68 32 22209
76 32 29541547
100 32 1063
124 32 30252
144 32 215237
152 32 271391
156 32 123022
170 32 974288
191 32 4991
208 32 2610
218 32 33682
251 32 27348
276 32 160000
308 32 661704
320 32 21250
360 32 591153
364 32 406324
381 32 217036
392 32 5595
410 32 3159
422 32 9658
450 32 128675
484 32 227978
490 32 1457
528 32 88220
600 32 5252
604 32 224648
699 32 195235
702 32 571547
704 32 9644
724 32 632404
757 32 12738
760 32 253425
792 32 126823
807 32 8550
818 32 22783
826 32 267648
842 32 38270
858 32 90205
899 32 8121
32 36 107943
40 36 110691
50 36 18773
56 36 114942
68 36 6924
76 36 8316320
92 36 33456
100 36 8387
108 36 48664
124 36 648277
144 36 17853403
152 36 582414
156 36 3777194
170 36 3399267
178 36 19485
180 36 17140
188 36 1324464
191 36 17898
192 36 169403
196 36 19700
208 36 6441
214 36 11837
222 36 7346
231 36 1068543
242 36 905885
246 36 6415
251 36 751557
258 36 14435
276 36 4604681
300 36 325063
320 36 981655
340 36 1602268
344 36 604565
348 36 103113
360 36 13224438
364 36 103923
372 36 154516
376 36 204986
381 36 18277707
384 36 16763
388 36 25337
392 36 1059839
400 36 75670
404 36 1343413
410 36 314954
414 36 32124
422 36 77713
450 36 463179
454 36 72472
458 36 1634617
484 36 584000
490 36 500031
504 36 177786
524 36 16118
528 36 1006616
540 36 4964
548 36 11011
554 36 823676
558 36 988780
562 36 20200
566 36 10651
586 36 235770
591 36 25397
598 36 13931849
600 36 15059
604 36 415659
608 36 125422
616 36 7590
620 36 8077
626 36 242718
646 36 27718
682 36 2471
699 36 22257131
702 36 2458050
704 36 13596017
705 36 7280
710 36 783911
716 36 83200
724 36 1109251
752 36 3472
757 36 440624
760 36 182705
764 36 2789005
776 36 3914
784 36 70304
788 36 3763
792 36 485127
800 36 323607
807 36 43130
818 36 77813
826 36 14063078
834 36 99071
842 36 2345012
858 36 18080
860 36 26695
887 36 11063
899 36 6631
8 40 2904
32 40 5687
56 40 199349
70 40 71545
76 40 30022882
92 40 21056
100 40 178328
108 40 205145
120 40 424217
124 40 44969
144 40 685593
152 40 95465
156 40 1857096
170 40 12747641
174 40 259036
178 40 433933
188 40 285979
191 40 137661
196 40 8211
203 40 360655
208 40 300441
212 40 78988
214 40 111320
218 40 111533
222 40 2819814
231 40 804323
246 40 108962
251 40 4415395
276 40 108021000
288 40 20067
300 40 21462
308 40 221406
320 40 3395780
324 40 217164
340 40 4538811
344 40 2277
348 40 4152181
352 40 57712
360 40 6119722
364 40 130145
376 40 240468
381 40 8395915
384 40 727208
388 40 40678
392 40 108612
404 40 3502749
410 40 8880
418 40 43660
422 40 18437
428 40 1328
440 40 253762
450 40 1646944
454 40 26938
458 40 22637
484 40 366173
490 40 27618
504 40 15802
524 40 16176
528 40 7282698
558 40 2793457
579 40 13993
591 40 53899
598 40 239358
604 40 3956495
608 40 59828
616 40 203848
620 40 3594
624 40 17820
642 40 15413
643 40 156838
646 40 169859
699 40 6471435
702 40 1951
703 40 36583
704 40 10254059
705 40 17815
710 40 79683
724 40 919042
740 40 1432
748 40 2303
752 40 394095
757 40 2581912
760 40 3136
764 40 109098
788 40 5541
792 40 881144
800 40 604305
804 40 89468
807 40 107588
818 40 326823
826 40 1931337
834 40 385143
842 40 52531
891 40 1331052
894 40 19675
40 44 2691
124 44 5994
144 44 6402
152 44 131690
192 44 6623
233 44 4010
320 44 3816
381 44 9374
388 44 92006
604 44 397531
642 44 2717
699 44 41956
724 44 1630
780 44 61192
826 44 81597
842 44 3772654
899 44 1047
50 48 3923
56 48 1814
76 48 3101
124 48 1380
144 48 653145
156 48 548278
188 48 37032
196 48 4181
251 48 6952
276 48 150521
320 48 381744
360 48 26830
364 48 465704
381 48 41310
392 48 17242
400 48 19091
404 48 14113
410 48 11359
414 48 32186
422 48 64472
450 48 15383
458 48 41043
470 48 19285
484 48 3245
512 48 19272
528 48 69824
586 48 250324
608 48 4077
634 48 4505
682 48 458879
699 48 4250405
702 48 1856
704 48 91917
710 48 28263
724 48 210290
752 48 1112
757 48 12008
760 48 30918
764 48 84923
784 48 3682321
792 48 3043
818 48 1222
826 48 447999
834 48 11574
842 48 199771
887 48 2386
4 50 7035840
32 50 19194
36 50 7248
76 50 17548
104 50 1275009
124 50 12986
144 50 12825
156 50 7494437
174 50 84072
276 50 3000
320 50 4564901
344 50 151098
360 50 679783
364 50 586017
392 50 2738
404 50 37483
450 50 445610
458 50 254925
524 50 84891
554 50 1270
566 50 2053
568 50 36423
586 50 230880
699 50 11586802
702 50 14791200
704 50 441995
757 50 31727
760 50 69338
764 50 53440
784 50 3820524
792 50 1713111
818 50 8817
826 50 1871
842 50 165712
40 51 12190
56 51 14601
100 51 54000
144 51 314227
192 51 1208611
251 51 145334
268 51 47340
276 51 191438
360 51 183300
364 51 291079
381 51 4792
392 51 3040
404 51 29022
422 51 4649473
458 51 37863
528 51 81000
643 51 178555
699 51 820089
702 51 26854
704 51 250380
757 51 57176
760 51 2612
784 51 450838
792 51 28740
804 51 10235
842 51 42038
862 51 28152
76 52 2144
124 52 548037
144 52 118284
152 52 330323
156 52 8053
188 52 4949
212 52 13178
251 52 56593
276 52 52560
308 52 44464
320 52 3750
328 52 111400
360 52 27977
376 52 2925
381 52 66690
388 52 60805
450 52 19836
458 52 22561
480 52 2066
504 52 1871
528 52 14703
670 52 24429
686 52 3907
694 52 92474
699 52 69963
702 52 42342
704 52 19918
710 52 1800
724 52 43144
757 52 3348
760 52 1518
780 52 567444
792 52 8909
796 52 3287
818 52 8539
826 52 185968
842 52 648040
32 56 32817
36 56 6532
40 56 998605
68 56 528862
76 56 52273244
84 56 11571
100 56 40809
108 56 3345671
120 56 9285780
124 56 460269
140 56 203577
144 56 780273
156 56 7982257
170 56 41558630
174 56 56191
178 56 252671
180 56 356708
188 56 8951143
192 56 74454
203 56 12949
208 56 1981244
214 56 232783
218 56 378889
222 56 6114149
231 56 9931911
246 56 11459
251 56 67547094
258 56 13932
276 56 61642508
288 56 877112
300 56 113475
308 56 1643715
320 56 11820343
324 56 2209879
332 56 1469265
340 56 15143438
344 56 72366
348 56 830000
360 56 6858359
364 56 155351
372 56 11894
376 56 907466
381 56 6823017
384 56 2483319
392 56 221077
400 56 20530
404 56 6307856
410 56 1576
418 56 854144
422 56 24765
442 56 4291494
450 56 919515
454 56 309673
458 56 276750
480 56 801269
484 56 8621082
504 56 618301
524 56 3191
528 56 28446376
558 56 3562993
566 56 73714
579 56 8200
591 56 378829
598 56 992815
604 56 11498915
608 56 3762
616 56 603777
620 56 345270
626 56 20101
642 56 7997
646 56 2059296
686 56 5487
694 56 405866
699 56 19493117
702 56 1439918
704 56 19515389
710 56 172995
716 56 652813
724 56 1907774
752 56 45893
757 56 3817392
760 56 47959
764 56 601426
768 56 816968
784 56 167659
788 56 352798
792 56 1028173
800 56 7272606
818 56 121694
826 56 14648421
834 56 3271197
842 56 3255331
854 56 1129
862 56 113766
891 56 3733
894 56 1359834
124 60 31279
381 60 39974
388 60 11563
826 60 83373
842 60 408589
699 64 52330
32 68 263029
40 68 5764
76 68 106215
144 68 1306154
152 68 5584
156 68 18591
208 68 3507
251 68 4527
276 68 143643
360 68 38460
364 68 33534
381 68 73901
484 68 17667
490 68 21488
600 68 30392
604 68 103812
699 68 15873
702 68 44936
704 68 13344
760 68 120638
792 68 33800
842 68 18662
899 68 10547
40 70 680552
76 70 6389361
120 70 3517
156 70 2108
170 70 46651
178 70 5932
191 70 2720637
192 70 4199
208 70 2117
218 70 41431
231 70 3694
251 70 2264
276 70 53000
300 70 7031
348 70 179000
360 70 28944
381 70 3306283
384 70 9092
422 70 22259
458 70 10998
528 70 15834
591 70 34019
643 70 1468
699 70 129295
703 70 78759
704 70 14423
705 70 399945
710 70 8682
724 70 56557
792 70 7121
800 70 11879
807 70 3133
899 70 3543819
144 72 234598
276 72 4248
404 72 8033
454 72 484106
516 72 5246
699 72 80087
710 72 18060483
716 72 286449
8 76 2484
32 76 1177124
36 76 51780
40 76 110110
100 76 147490
108 76 1851
124 76 104491
144 76 117674
152 76 167889
156 76 370367
208 76 1309
231 76 98407
251 76 243046
258 76 1171
268 76 1343
276 76 2433000
300 76 13752
308 76 84382
320 76 19516
340 76 220500
344 76 4094
348 76 244208
360 76 4546532
364 76 34285
381 76 1382950
392 76 60792
410 76 32684
422 76 117477
450 76 148944
458 76 10511
484 76 166301
490 76 2818
504 76 35003
524 76 7612
586 76 42500
604 76 236330
616 76 13376
699 76 1001435
702 76 1331386
704 76 358074
710 76 2156090
724 76 666284
757 76 54658
760 76 3605983
788 76 7204
