illes	itp	iitpib	zitp	ziipib	iit
"Illes Verges (britàniques)"	12894.4	6946.72	2.23341	2.54519	9464.34
"Illes Caiman"	10373	4194.34	1.60709	.970079	6596.06
"Illes Marianes"	6175.03	3738.93	.564286	.70946	4805
"Bahamas"	4809.01	4072.4	.224959	.900294	4425.4
"Illes Verges (americanes)"	3223.69	4435.28	-.168842	1.10796	3781.27
"Illa de Cook"	2264.61	2631.45	-.407084	.075683	2441.15
"Illes Maldives"	1357.5	2779.36	-.632414	.160328	1942.42
"Xipre"	2665.09	1280.25	-.307602	-.697569	1847.15
"Malta"	2845.2	1194.48	-.262862	-.746653	1843.51
"Illes Seychelles"	1556.77	1805.22	-.582916	-.397144	1676.4
"Guadalupe"	1445.96	1091.74	-.61044	-.805449	1256.43
"Martinica"	1304.52	910.72	-.645576	-.90904	1089.98
"Jamaica"	452.921	1621.24	-.857117	-.502428	856.911
"Fiji"	430.812	645.654	-.862609	-1.06073	527.404
"Illes Maurici"	452.038	407.91	-.857336	-1.19678	429.408
"Cuba"	107.847	732.145	-.942835	-1.01123	280.997
"Illes Balears"	11690	3695.4	1.93423	.684552	6572.61
"Illes Canàries"	6212.76	2802.34	.573658	.17348	4172.56
