vcf	ndvi	leaf	albedo
17.5	0.5879261	14.52174	0.1536039
26.6875	0.7282826	18.13043	0.1487736
22.375	0.6382695	33.06522	0.1497934
25.25	0.6316087	19.54348	0.1474207
12.9375	0.6285174	16.1087	0.1608656
14.6875	0.6921782	18.5	0.1566922
14.1875	0.6961	18.26087	0.1524182
11	0.6847304	19.26087	0.1562128
16.1875	0.6302565	16.41304	0.1540165
14.1875	0.6094739	28.04348	0.1578517
10.9375	0.5995783	28.26087	0.1684007
19.25	0.5924609	13.73913	0.1476491
11.6875	0.5893695	25.13043	0.1508876
14.5	0.5722565	21.93478	0.1531857
16.5625	0.588587	14.95652	0.1495038
9.1875	0.5903217	15.28261	0.1539883
10.125	0.5989565	15.08696	0.1541403
20.875	0.6167913	29.3913	0.1517276
19.125	0.6302043	16.17391	0.1541975
17.5	0.5122565	9.934783	0.1583148
3.9375	0.3771174	8.152174	0.1849115
56.375	0.7630783	41.28261	0.1368965
67.375	0.7552869	45.52174	0.1264247
57.8125	0.7635652	44.5	0.1281782
15.25	0.5960087	26.43478	0.1438098
19.8125	0.6905652	37.3913	0.1510365
49.375	0.7546391	43.1087	0.1352124
38.25	0.7094131	42.34783	0.1367756
56.75	0.6870652	37.04348	0.1279763
57.6875	0.7094783	20.78261	0.1291262
58.125	0.6467913	34.23913	0.1316339
59.5	0.708087	38.97826	0.1335233
42.3125	0.6218478	17.65217	0.1390923
9.125	0.5639913	14.5	0.149747
9.8125	0.6534261	27.80435	0.1540796
21.3125	0.7040261	38.93478	0.1474552
20.625	0.6525739	34.19565	0.148747
17.1875	0.5739	11.36957	0.1555155
9.4375	0.3653391	10.56522	0.1802202
41.375	0.7109739	39.43478	0.1448049
61.8125	0.7598391	41.86956	0.1422677
72.5625	0.7343261	41.02174	0.1298125
53.6875	0.7127391	41.95652	0.1270246
11.75	0.4429913	13.86957	0.1491534
6.75	0.5728695	25.69565	0.1680268
14	0.6369739	32.56522	0.1638924
15.375	0.6468043	32.76087	0.152137
55.75	0.7343522	39.8913	0.1294311
65.4375	0.7268478	41.82609	0.1325885
67.3125	0.7711695	44.80435	0.1333945
68.875	0.7618652	42.69565	0.1321907
65.875	0.7264348	39.78261	0.1314048
56.4375	0.6652521	17.6087	0.1335178
45.5	0.6974174	17.32609	0.139556
42.875	0.7057609	39.78261	0.1376141
16.5	0.6809565	36.06522	0.1441455
15.875	0.5409913	11.52174	0.1541089
9.3125	0.4290826	7.847826	0.17725
50.3125	0.7613043	47.17391	0.1401374
57.3125	0.7546261	45.32609	0.1432003
74.125	0.7745131	42.45652	0.1313705
68.8125	0.7367348	44.23913	0.1292802
31.4375	0.4578826	17.58696	0.1402826
12.6875	0.4255261	11.91304	0.1566917
11.375	0.5401782	19.3913	0.1527946
43.25	0.6283261	30.86957	0.1379972
65.875	0.7131522	42.47826	0.1296174
67.75	0.7695913	43.17391	0.1319151
66.9375	0.7649348	41.78261	0.1309343
67.8125	0.7464	40.21739	0.1314764
63.75	0.7424174	35.52174	0.1342847
57.5	0.7417565	41.08696	0.1356115
64.1875	0.7672435	46.23913	0.1343466
31.25	0.7481609	41.63044	0.1438783
17.75	0.6671087	18.30435	0.1481006
23.1875	0.6792652	32.43478	0.1524911
9.6875	0.4254609	9.173913	0.1691622
59.5	0.7284217	44.19565	0.1430035
56.8125	0.7565696	42.45652	0.1384936
69	0.7530391	44.69565	0.135318
74.125	0.7454696	43.13044	0.1281233
71.875	0.7471305	45.15217	0.1269295
59	0.6745913	38.71739	0.129649
21.5	0.5902218	24.3913	0.1348639
27.4375	0.6219652	31.54348	0.1344608
62	0.6994696	39.45652	0.1253114
72	0.7431913	39.82609	0.1256136
68.0625	0.7698957	45.02174	0.1300625
67	0.7782609	41.04348	0.131867
63.8125	0.7716131	41.8913	0.134222
59.5	0.7172695	40.23913	0.1338222
43.1875	0.7282739	38.80435	0.137176
36.125	0.7647957	40.65217	0.1447526
8.5	0.4911435	16.34783	0.1583273
4.1875	0.4659261	10.1087	0.1698624
3.9375	0.5022826	11.91304	0.1804735
5.875	0.4012913	9.369565	0.1800369
69.25	0.7504044	44.41304	0.1373182
69.625	0.7545391	43.13044	0.1316766
74.125	0.7787392	42	0.1276871
74.1875	0.7695	44.52174	0.126825
74.1875	0.7526609	41.41304	0.1231724
66.6875	0.7393565	39.21739	0.1274956
25.75	0.5401478	23	0.1332744
36.5	0.7023435	36.04348	0.1300958
68.875	0.7454218	40.43478	0.1230211
76	0.7175609	39.71739	0.1264375
67.375	0.747	44.26087	0.129
62.4375	0.7439174	41.19565	0.1354199
59.6875	0.6836348	40.52174	0.134832
40.375	0.6631478	36.02174	0.1340518
21.0625	0.6446609	30.52174	0.1350948
11.8125	0.5273174	17.52174	0.1487234
14.75	0.4177652	11.86957	0.1572748
7.4375	0.3790565	9.543478	0.1660954
7.9375	0.3996131	8.543478	0.1792391
6.125	0.4004435	11.23913	0.1784375
75.6875	0.7570174	43.45652	0.1285398
70.8125	0.7888478	45.80435	0.1306973
73.5625	0.7658652	41.36956	0.1282458
74.3125	0.7585695	43.32609	0.1287333
72.3125	0.7678913	38.30435	0.1237549
71.1875	0.7253478	37.71739	0.1291423
72.9375	0.6603913	36.67391	0.1229118
68.625	0.7191305	42.1087	0.1194432
76.25	0.7553869	38.78261	0.1216753
76.75	0.7477478	40.52174	0.1244146
58.6875	0.7352608	37.71739	0.1276314
46.875	0.7141913	38.26087	0.1361723
39.8125	0.6807391	37.73913	0.1360914
