edad	sexo	estudios	neuroticism	extraversion	openness	agreeableness	conscientiousness	impulsiveness	sensation	nicotineD	nicotineY	coc
.49788	.48246	-.05921	.31287	-.57545	-.58331	-.91699	-.00665	-.21712	-1.18084	1	0	"never"
-.07854	-.48246	1.98437	-.67825	1.93886	1.43533	.76096	-.14277	-.71126	-.21575	0	1	"year"
.49788	-.48246	-.05921	-.46725	.80523	-.84732	-1.6209	-1.0145	-1.37983	.40148	0	0	"never"
-.95197	.48246	1.16365	-.14882	-.80615	-.01928	.59042	.58489	-1.37983	-1.18084	1	0	"decade"
.49788	.48246	1.98437	.73545	-1.6334	-.45174	-.30172	1.30612	-.21712	-.21575	1	0	"never"
2.59171	.48246	-1.22751	-.67825	-.30033	-1.55521	2.03972	1.63088	-1.37983	-1.54858	0	1	"never"
1.09449	-.48246	1.16365	-.46725	-1.09207	-.45174	-.30172	.93949	-.21712	.07987	0	1	"never"
.49788	-.48246	-1.7379	-1.32828	1.93886	-.84732	-.30172	1.63088	.19268	-.52593	0	0	"never"
.49788	.48246	-.05921	.62967	2.57309	-.97631	.76096	1.13407	-1.37983	-1.54858	0	1	"never"
1.82213	-.48246	1.16365	-.24649	.00332	-1.42424	.59042	.12331	-1.37983	-.84637	0	1	"never"
-.07854	.48246	.45468	-1.05308	.80523	-1.11902	-.76096	1.81175	.19268	.07987	1	0	"decade"
1.09449	-.48246	-.61113	-1.32828	.00332	.14143	-1.92595	-.52745	.52975	1.2247	0	1	"decade"
1.82213	.48246	.45468	2.28554	.16767	.44585	-1.6209	-.78155	1.29221	.07987	0	1	"decade"
1.82213	.48246	-.05921	-.79151	.80523	-.01928	.94156	3.46436	-.71126	-.84637	1	0	"never"
1.82213	.48246	-.05921	-.92104	1.45421	.44585	-.60633	1.63088	1.29221	.7654	0	1	"never"
1.82213	-.48246	.45468	-2.05048	-1.50796	-1.55521	-1.07533	1.13407	-.71126	-.52593	0	0	"decade"
.49788	.48246	-.61113	-1.55078	-.80615	-1.68062	.28783	.7583	-.21712	-2.07848	0	1	"never"
1.09449	-.48246	-1.7379	.52135	-1.23177	-.31776	-.45321	-1.38502	-1.37983	-.84637	0	1	"decade"
1.82213	-.48246	.45468	1.37297	-.15487	-.17779	-1.92595	-1.5184	-.71126	-.21575	0	0	"decade"
.49788	-.48246	-.05921	-.34799	-1.7625	-2.39883	-1.92595	.7583	-1.37983	-2.07848	1	0	"never"
1.09449	-.48246	-.05921	-.79151	.80523	.7233	1.61108	-1.13788	.19268	-.21575	0	1	"never"
2.59171	-.48246	-2.43591	-1.1943	.47617	-1.11902	-.60633	1.81175	-.21712	-1.18084	1	0	"never"
1.09449	-.48246	.45468	.41667	-.94779	-.84732	1.11406	-.89891	-.71126	.07987	0	0	"never"
1.09449	-.48246	-1.7379	1.60383	-3.27393	-1.27553	.28783	-1.0145	-1.37983	-1.54858	0	1	"decade"
1.82213	-.48246	.45468	-.14882	.63779	1.24033	.76096	1.46191	-.21712	-.52593	0	1	"decade"
1.09449	-.48246	-.61113	-.79151	-.43999	-1.27553	.94156	-.00665	-.21712	.40148	1	0	"decade"
1.82213	.48246	-1.22751	-.05188	-1.6334	-3.27393	-.76096	.58489	.19268	-1.54858	0	1	"never"
.49788	-.48246	.45468	.52135	-1.23177	-.01928	-.01729	-2.18109	1.86203	.40148	1	0	"decade"
.49788	.48246	1.16365	.04257	-1.50796	-.71727	.28783	1.30612	.19268	-.52593	0	0	"never"
1.09449	-.48246	1.98437	-1.32828	1.74091	.88309	.94156	1.81175	-.21712	-.52593	0	0	"never"
1.09449	-.48246	-1.7379	.31287	-.80615	-1.27553	-1.47955	-.65253	-1.37983	.07987	1	0	"decade"
.49788	.48246	-1.7379	-1.1943	-.80615	.14143	-.60633	-.00665	-1.37983	-.84637	1	0	"never"
.49788	-.48246	.45468	-.79151	-1.23177	-.01928	.43852	-.00665	.19268	-.84637	0	1	"never"
-.95197	-.48246	.45468	.41667	-.30033	.29338	1.2861	-.14277	-.71126	-1.54858	0	0	"never"
.49788	-.48246	.45468	1.02119	.63779	.88309	-2.90161	-.78155	.52975	1.92173	0	1	"decade"
2.59171	-.48246	-2.43591	-.24649	-.80615	-2.63199	-.30172	-.78155	.52975	-1.54858	0	1	"never"
.49788	-.48246	.45468	-.24649	-.57545	-.17779	-.01729	-1.5184	-.21712	-.21575	0	0	"never"
