code	length1	length2	length3	height	width	sex	weight
1	23.2	25	30	38.4	13.4	"nan"	242
1	24	26	31.2	40	13.8	"nan"	290
1	23.9	26	31.1	39.8	15.1	"nan"	340
1	26.3	29	33.5	38	13.3	"nan"	363
1	26.5	29	34	36.6	15.1	"nan"	430
1	26.8	29	34.7	39.2	14.2	"nan"	450
1	26.8	29	34.5	41.1	15.3	"nan"	500
1	27.6	30	35	36.2	13.4	"nan"	390
1	27.6	30	35.1	39.9	13.8	"nan"	450
1	28.5	30	36.2	39.3	13.7	"nan"	500
1	28.4	31	36.2	39.4	14.1	"nan"	475
1	28.7	31	36.2	39.7	13.3	"nan"	500
1	29.1	31	36.4	37.8	12	"nan"	500
1	29.4	32	37.2	40.2	13.9	"male"	600
1	29.4	32	37.2	41.5	15	"nan"	600
1	30.4	33	38.3	38.8	13.8	"male"	700
1	30.4	33	38.5	38.8	13.5	"nan"	700
1	30.9	33	38.6	40.5	13.3	"nan"	610
1	31	33	38.7	37.4	14.8	"nan"	650
1	31.3	34	39.5	38.3	14.1	"male"	575
1	31.4	34	39.2	40.8	13.7	"nan"	685
1	31.5	34	39.7	39.1	13.3	"nan"	620
1	31.8	35	40.6	38.1	15.1	"nan"	680
1	31.9	35	40.5	40.1	13.8	"nan"	700
1	31.8	35	40.9	40	14.8	"male"	725
1	32	35	40.6	40.3	15	"nan"	720
1	32.7	36	41.5	39.8	14.1	"nan"	714
1	32.8	36	41.6	40.6	14.9	"nan"	850
1	33.5	37	42.6	44.5	15.5	"female"	1000
1	35	38	44.1	40.9	14.3	"female"	920
1	35	38	44	41.1	14.3	"nan"	955
1	36.2	39	45.3	41.4	14.9	"male"	925
1	37.4	41	45.9	40.6	14.7	"female"	975
1	38	41	46.5	37.9	13.7	"nan"	950
2	23.6	26	28.7	29.2	14.8	"nan"	270
2	24.1	26	29.3	27.8	14.5	"nan"	270
2	25.6	28	30.8	28.5	15.2	"nan"	306
2	28.5	31	34	31.6	19.3	"nan"	540
2	33.7	36	39.6	29.7	16.6	"female"	800
2	37.3	40	43.5	28.4	15	"nan"	1000
3	12.9	14	16.2	25.6	14	"nan"	40
3	16.5	18	20.3	26.1	13.9	"nan"	69
3	17.5	18	21.2	26.3	13.7	"nan"	78
3	18.2	19	22.2	25.3	14.3	"nan"	87
3	18.6	20	22.2	28	16.1	"nan"	120
