country;ISO3;region;african_union;arab_states;BRICS;EU;G20;OECD;CPI_score_2017;standard_error_2017;lower_CI_2017;upper_CI_2017;number_sources_2017;CPI_score_2012;standard_error_2012;number_sources_2012;CPI_score_2013;standard_error_2013;number_sources_2013;CPI_score_2014;standard_error_2014;number_sources_2014;CPI_score_2015;standard_error_2015;number_sources_2015;CPI_score_2016;standard_error_2016;number_sources_2016;world_bank_CPIA;world_economic_forum_EOS;global_insight_country_risk_ratings;bertelsmann_foundation_transformation_index;african_development_bank_CPIA;IMD_world_competitiveness_yearbook;bertelsmann_foundation_sustainable_governance_index;world_justice_project_rule_of_law_index;PRS_international_country_risk_guide;varieties_of_democracy_project;economist_intelligence_unit_country_ratings;freedom_house_nations_in_transit_ratings;PERC_asia_risk_guide
New Zealand;NZL;AP;0;0;0;0;0;1;89;2.4;85;93;8;90;2.2;7;91;2.3;7;91;2.2799999714;7;91;2.3199999332;7;90;2.56;7;0;92;83;0;0;93;97;82;93;77;90;0;0
Denmark;DNK;WE/EU;0;0;0;1;0;1;88;2.75;83;93;8;90;2;7;91;2.2;7;92;2.0399999619;7;91;2.1600000858;7;90;2.46;7;0;80;83;0;0;99;97;88;93;77;90;0;0
Finland;FIN;WE/EU;0;0;0;1;0;1;85;2.84;80;90;8;90;3;7;89;1.7;7;89;2.0499999523;7;90;1.7699999809;7;89;1.46;7;0;92;83;0;0;92;88;86;93;75;72;0;0
Norway;NOR;WE/EU;0;0;0;0;0;1;85;1.83;82;88;8;85;1.6;7;86;2.3;7;86;2.3800001144;7;88;2.2400000095;7;85;1.85;7;0;86;83;0;0;85;79;86;93;77;90;0;0
Switzerland;CHE;WE/EU;0;0;0;0;0;1;85;1.71;82;88;7;86;2.6;6;85;2.5;6;86;2.6099998951;6;86;2.5499999523;6;86;1.57;6;0;85;83;0;0;89;88;0;85;77;90;0;0
Singapore;SGP;AP;0;0;0;0;0;0;84;2.26;80;88;9;87;2.1;9;86;2.3;9;84;1.75;8;85;2.0199999809;8;84;2.35;8;0;90;83;73;0;90;0;85;79;77;90;0;92
Sweden;SWE;WE/EU;0;0;0;1;0;1;84;2.27;80;88;8;88;1.9;7;89;2.3;7;87;3.4100000858;7;89;1.7100000381;7;88;1.33;7;0;74;83;0;0;84;88;86;93;77;90;0;0
Canada;CAN;AME;0;0;0;0;1;1;82;1.49;80;84;8;84;2.2;7;81;2.4;7;81;2.4500000477;7;83;1.6299999952;7;82;2.03;7;0;80;83;0;0;86;79;80;85;77;90;0;0
Luxembourg;LUX;WE/EU;0;0;0;1;0;1;82;2.08;79;85;6;80;2.8;6;80;2.9;6;82;2.7799999714;6;85;1.6000000238;5;81;1.96;6;0;86;83;0;0;84;79;0;85;0;72;0;0
Netherlands;NLD;WE/EU;0;0;0;1;0;1;82;2.23;78;86;8;84;2;7;83;2;7;83;1.9700000286;7;84;1.9800000191;7;83;2.32;7;0;84;83;0;0;89;70;80;85;77;90;0;0
