"Country" "Unemployment_men" "Unemployment_women" "Employed" "DQI"
"Austria" 5.9 5 4227.8 97
"Belgium" 7.3 7 4601.9 76
"Bulgaria" 6.5 6 3142 55
"Croatia" 10.2 12.1 1656.5 59
"Czech_Republic" 2.3 3.6 5124.2 83
"Denmark" 5.6 5.9 2758 84
"Estonia" 7.4 6.1 631.4 61
"Finland" 8.9 8.4 2435.1 83
"France" 9.6 9.4 26635.6 88
"Germany" 4.1 3.4 40862.5 87
"Greece" 19.9 28.1 3753 66
"Hungary" 5.1 5.1 4402.4 71
"Ireland" 7.1 6.3 2137.6 86
"Italy" 10.9 12.8 22588.8 66
"Latvia" 9.7 7.7 869.1 65
"Lithuania" 8.7 5.8 1311.4 61
"Luxembourg" 5.9 5.4 272.7 97
"Malta" 3.8 4.2 197 66
"Netherlands" 4.5 5.3 8424.2 91
"Poland" 4.9 4.9 16145.9 67
"Portugal" 8.6 9.4 4558.4 73
"Romania" 5.7 4 8514.9 60
"Slovenia" 5.9 7.8 958.4 70
"Cyprus" 11 11.5 374.5 66
"Spain" 15.7 19 18868.2 74
"Slovakia" 8 8.2 2511.1 84
"Sweden" 6.9 6.4 4912.8 82
"United_Kingdom" 5 4.7 30844.2 92
